日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,601318,85.9,86.12,86.79,85.88,778252,6712531712.0,1.06,0.77,0.66,0.72
2020-01-03,601318,86.81,86.2,86.88,85.9,594980,5137312000.0,1.14,0.09,0.08,0.55
2020-01-06,601318,85.92,85.6,86.87,85.5,636448,5487967744.0,1.59,-0.7,-0.6,0.59
2020-01-07,601318,86.01,86.15,86.46,85.67,452188,3886450096.0,0.92,0.64,0.55,0.42
2020-01-08,601318,85.98,85.0,85.98,84.5,628053,5347387392.0,1.72,-1.33,-1.15,0.58
2020-01-09,601318,85.58,85.04,85.61,84.69,598712,5090240000.0,1.08,0.05,0.04,0.55
2020-01-10,601318,85.35,84.78,85.39,84.61,525865,4460689408.0,0.92,-0.31,-0.26,0.49
2020-01-13,601318,85.01,86.45,86.47,84.78,810589,6944781568.0,1.99,1.97,1.67,0.75
2020-01-14,601318,87.2,86.83,87.82,86.68,716682,6246205952.0,1.32,0.44,0.38,0.66
2020-01-15,601318,86.81,85.81,87.12,85.68,526217,4530511104.0,1.66,-1.17,-1.02,0.49
2020-01-16,601318,86.31,85.55,86.37,85.55,498579,4283072144.0,0.96,-0.3,-0.26,0.46
2020-01-17,601318,86.15,86.25,86.9,85.85,555370,4786520320.0,1.23,0.82,0.7,0.51
2020-01-20,601318,88.3,87.6,88.7,87.35,936051,8248578816.0,1.57,1.57,1.35,0.86
2020-01-21,601318,87.0,85.6,87.29,85.6,727579,6273908480.0,1.93,-2.28,-2.0,0.67
2020-01-22,601318,85.0,85.22,85.48,83.83,736577,6235780096.0,1.93,-0.44,-0.38,0.68
2020-01-23,601318,84.01,83.49,84.56,82.48,1080021,9019354112.0,2.44,-2.03,-1.73,1.0
2020-02-03,601318,76.51,77.71,79.25,76.4,2031499,15779335424.0,3.41,-6.92,-5.78,1.88
2020-02-04,601318,78.3,80.43,80.97,78.2,1213481,9661568256.0,3.56,3.5,2.72,1.12
2020-02-05,601318,80.56,80.38,81.33,79.76,753197,6062969600.0,1.95,-0.06,-0.05,0.7
2020-02-06,601318,81.18,81.52,81.97,80.38,672190,5451123712.0,1.98,1.42,1.14,0.62
2020-02-07,601318,80.6,81.03,81.2,80.42,491631,3968082288.0,0.96,-0.6,-0.49,0.45
2020-02-10,601318,80.35,80.3,80.64,79.9,593604,4759660544.0,0.91,-0.9,-0.73,0.55
2020-02-11,601318,80.89,81.13,81.86,80.5,584322,4748597504.0,1.69,1.03,0.83,0.54
2020-02-12,601318,81.1,81.2,81.46,80.55,444339,3595991664.0,1.12,0.09,0.07,0.41
2020-02-13,601318,81.2,80.45,81.2,80.36,562604,4532120576.0,1.03,-0.92,-0.75,0.52
2020-02-14,601318,80.37,81.0,81.26,80.21,428765,3460459248.0,1.31,0.68,0.55,0.4
2020-02-17,601318,81.0,82.39,82.49,80.7,678119,5545284352.0,2.21,1.72,1.39,0.63
2020-02-18,601318,81.81,81.55,82.11,81.44,513200,4192774608.0,0.81,-1.02,-0.84,0.47
2020-02-19,601318,81.03,81.7,82.24,81.01,460474,3760231168.0,1.51,0.18,0.15,0.43
2020-02-20,601318,82.0,83.28,83.61,81.35,833043,6866907904.0,2.77,1.93,1.58,0.77
2020-02-21,601318,82.5,82.38,83.23,82.0,1093906,9020541440.0,1.48,-1.08,-0.9,1.01
2020-02-24,601318,81.0,80.72,81.3,80.5,1035103,8361285888.0,0.97,-2.02,-1.66,0.96
2020-02-25,601318,79.8,80.19,80.32,79.51,869001,6948570624.0,1.0,-0.66,-0.53,0.8
2020-02-26,601318,79.45,79.83,80.76,79.11,844167,6737172992.0,2.06,-0.45,-0.36,0.78
2020-02-27,601318,79.6,79.79,80.4,79.3,666793,5318013440.0,1.38,-0.05,-0.04,0.62
2020-02-28,601318,78.6,77.72,79.29,77.71,983923,7697148672.0,1.98,-2.59,-2.07,0.91
2020-03-02,601318,78.32,79.58,80.2,78.32,712323,5669190144.0,2.42,2.39,1.86,0.66
2020-03-03,601318,80.48,79.49,80.57,79.26,678238,5418803200.0,1.65,-0.11,-0.09,0.63
2020-03-04,601318,79.9,80.58,80.75,79.9,677575,5443423488.0,1.07,1.37,1.09,0.63
2020-03-05,601318,81.01,82.45,82.76,80.62,960643,7866801920.0,2.66,2.32,1.87,0.89
2020-03-06,601318,81.57,80.91,81.92,80.8,584186,4739601664.0,1.36,-1.87,-1.54,0.54
2020-03-09,601318,78.91,78.14,79.0,78.02,1055083,8277312768.0,1.21,-3.42,-2.77,0.97
2020-03-10,601318,78.14,79.18,79.78,77.83,717006,5645289728.0,2.5,1.33,1.04,0.66
2020-03-11,601318,79.18,78.15,79.25,78.15,591404,4645175552.0,1.39,-1.3,-1.03,0.55
2020-03-12,601318,77.25,76.65,77.48,76.53,901291,6925926400.0,1.22,-1.92,-1.5,0.83
2020-03-13,601318,72.14,74.71,75.98,72.1,1166157,8615758848.0,5.06,-2.53,-1.94,1.08
2020-03-16,601318,74.5,72.0,74.52,71.8,979173,7135463680.0,3.64,-3.63,-2.71,0.9
2020-03-17,601318,71.65,72.14,73.0,70.89,950923,6841593600.0,2.93,0.19,0.14,0.88
2020-03-18,601318,72.53,69.87,72.88,69.85,852181,6077848832.0,4.2,-3.15,-2.27,0.79
2020-03-19,601318,69.1,67.81,69.87,66.32,1236761,8385522944.0,5.08,-2.95,-2.06,1.14
2020-03-20,601318,68.71,69.0,69.4,67.35,887269,6081160960.0,3.02,1.75,1.19,0.82
2020-03-23,601318,66.0,66.76,67.5,66.0,684080,4566662400.0,2.17,-3.25,-2.24,0.63
2020-03-24,601318,67.95,68.95,69.05,67.82,791633,5419438592.0,1.84,3.28,2.19,0.73
2020-03-25,601318,70.6,70.35,71.23,69.88,928186,6547779584.0,1.96,2.03,1.4,0.86
2020-03-26,601318,69.48,70.19,71.0,69.35,549870,3859228592.0,2.35,-0.23,-0.16,0.51
2020-03-27,601318,71.25,69.72,71.29,69.72,603084,4246255808.0,2.24,-0.67,-0.47,0.56
2020-03-30,601318,68.6,69.15,69.39,68.45,467956,3222983520.0,1.35,-0.82,-0.57,0.43
2020-03-31,601318,70.11,69.17,70.35,69.01,425368,2967824560.0,1.94,0.03,0.02,0.39
2020-04-01,601318,69.0,69.32,70.47,68.9,556929,3887226528.0,2.27,0.22,0.15,0.51
2020-04-02,601318,68.4,69.67,69.67,67.76,512029,3512800752.0,2.76,0.5,0.35,0.47
2020-04-03,601318,69.1,68.86,69.26,68.41,420254,2892833248.0,1.22,-1.16,-0.81,0.39
2020-04-07,601318,70.08,69.97,70.3,69.56,619348,4330830336.0,1.07,1.61,1.11,0.57
2020-04-08,601318,69.57,69.39,69.8,69.32,362459,2521691760.0,0.69,-0.83,-0.58,0.33
2020-04-09,601318,69.65,69.64,69.96,69.38,368308,2567770384.0,0.84,0.36,0.25,0.34
2020-04-10,601318,69.65,70.99,72.43,69.38,766250,5445247232.0,4.38,1.94,1.35,0.71
2020-04-13,601318,70.45,70.13,70.79,70.0,355170,2495812256.0,1.11,-1.21,-0.86,0.33
2020-04-14,601318,70.68,71.02,71.17,70.25,429697,3041154496.0,1.31,1.27,0.89,0.4
2020-04-15,601318,71.07,70.85,71.38,70.65,381515,2707408704.0,1.03,-0.24,-0.17,0.35
2020-04-16,601318,70.5,70.38,70.71,70.16,282943,1992746672.0,0.78,-0.66,-0.47,0.26
2020-04-17,601318,71.1,72.4,73.32,70.79,903679,6519197440.0,3.59,2.87,2.02,0.83
2020-04-20,601318,72.89,73.5,73.8,72.1,654194,4785645824.0,2.35,1.52,1.1,0.6
2020-04-21,601318,73.05,72.37,73.48,71.51,568984,4118269232.0,2.68,-1.54,-1.13,0.53
2020-04-22,601318,72.0,72.07,72.07,71.48,377673,2709336480.0,0.82,-0.41,-0.3,0.35
2020-04-23,601318,72.39,72.16,72.8,71.82,329666,2379812928.0,1.36,0.12,0.09,0.3
2020-04-24,601318,71.03,70.5,71.03,70.3,667116,4705918976.0,1.01,-2.3,-1.66,0.62
2020-04-27,601318,70.62,71.2,71.61,70.62,481528,3433518800.0,1.4,0.99,0.7,0.44
2020-04-28,601318,71.5,72.38,72.68,70.97,613874,4420134656.0,2.4,1.66,1.18,0.57
2020-04-29,601318,72.38,74.0,74.2,72.38,531156,3917886432.0,2.51,2.24,1.62,0.49
2020-04-30,601318,74.46,74.46,75.3,74.21,486255,3635525680.0,1.47,0.62,0.46,0.45
2020-05-06,601318,73.3,73.81,73.98,72.9,629168,4613009920.0,1.45,-0.87,-0.65,0.58
2020-05-07,601318,73.7,73.23,73.7,72.81,403123,2946802576.0,1.21,-0.79,-0.58,0.37
2020-05-08,601318,72.8,72.97,73.29,72.06,404720,2944390960.0,1.68,-0.36,-0.26,0.37
2020-05-11,601318,73.11,73.9,74.8,73.11,495757,3677832432.0,2.32,1.27,0.93,0.46
2020-05-12,601318,73.9,73.93,74.33,73.47,415450,3071895584.0,1.16,0.04,0.03,0.38
2020-05-13,601318,73.6,73.34,73.93,72.65,288970,2118699104.0,1.73,-0.8,-0.59,0.27
2020-05-14,601318,73.0,72.23,73.0,72.17,349715,2535717392.0,1.13,-1.51,-1.11,0.32
2020-05-15,601318,72.61,72.23,73.1,72.18,317507,2301777680.0,1.27,0.0,0.0,0.29
2020-05-18,601318,72.2,72.2,72.98,71.69,308463,2228956640.0,1.79,-0.04,-0.03,0.28
2020-05-19,601318,73.18,72.9,73.6,72.61,341583,2493797104.0,1.37,0.97,0.7,0.32
2020-05-20,601318,73.0,72.95,73.19,72.5,274835,2000585104.0,0.95,0.07,0.05,0.25
2020-05-21,601318,73.2,72.38,73.3,72.36,312686,2277526272.0,1.29,-0.78,-0.57,0.29
2020-05-22,601318,72.06,70.12,72.1,70.1,577194,4091224720.0,2.76,-3.12,-2.26,0.53
2020-05-25,601318,70.0,70.03,70.08,69.0,417101,2901602624.0,1.54,-0.13,-0.09,0.39
2020-05-26,601318,70.99,70.51,71.0,70.32,271128,1912577648.0,0.97,0.69,0.48,0.25
2020-05-27,601318,70.72,70.65,71.58,70.52,287152,2036204896.0,1.5,0.2,0.14,0.27
